Item LC 116;Descrição Item;NBS;DESCRIÇÃO NBS;PS ONEROSA? (S/N);ADQ EXTERIOR? (S/N);INDOP;Local incidência IBS;cClassTrib;nome cClassTrib;;
07.09;Varrição, Coleta, Remoção, Incineração, Tratamento, Reciclagem, Separação E Destinação Final De Lixo, Rejeitos E Outros Resíduos Quaisquer.;1.2406.10.00;Serviços de varrição de vias e áreas públicas ;;;20201;local do imóvel;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.2402.20.00;Serviços de esvaziamento e limpeza de fossas sépticas ;;;;;;;;
;;1.2403.11.00;Serviços de coleta de resíduos de serviços de saúde e outros resíduos biológicos ;;;050101;local da prestação;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2403.12.00;Serviços de coleta de resíduos perigosos industriais, exceto resíduos de serviços de saúde e outros resíduos biológicos;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2403.19.00;Serviços de coleta de outros resíduos perigosos não classificados em subposições anteriores;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2403.21.00;Serviços de coleta de resíduos recicláveis, não perigosos, de origem doméstica  ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2403.22.00;Serviços de coleta de resíduos recicláveis, não perigosos, exceto de origem doméstica;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2403.31.00;Serviços de coleta de resíduos gerais de origem doméstica;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2403.32.00;Serviços de coleta de resíduos gerais, exceto de origem doméstica;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2404.11.00;Serviços de triagem, preparação, consolidação e estocagem de resíduos perigosos ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2404.12.00;Serviços de demolição e desmantelamento de embarcações, veículos e outros bens;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2404.13.00;Serviços de triagem, preparação, consolidação e estocagem de resíduos recicláveis não perigosos;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2404.19.00;Serviços de triagem, preparação, consolidação e estocagem de resíduos não perigosos, exceto os recicláveis;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.2404.33.00;Serviços de incineração de resíduos não perigosos;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
07.10;Limpeza, Manutenção E Conservação De Vias E Logradouros Públicos, Imóveis, Chaminés, Piscinas, Parques, Jardins E Congêneres.;1.1803.10.00;Serviços gerais de limpeza  ;;;20201;local do imóvel;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.1803.22.00;Serviços de limpeza de janelas ;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.1803.29.00;Serviços especializados de limpeza não classificados em subposições anteriores;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.2405.14.00;Serviços de remediação em edificações ;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.2406.90.00;Serviços de limpeza urbana e similares não classificados em subposições anteriores;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.2407.00.00;Serviços de proteção ambiental não classificados em posições anteriores;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
07.11;Decoração E Jardinagem, Inclusive Corte E Poda De Árvores.;1.1409.11.00;Serviços de design de interiores para espaços comerciais e públicos;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1409.12.00;Serviços de design de interiores para espaços residenciais ;;;;;;;;
;;1.1806.70.00;Serviços de jardinagem  ;;;;;;;;
07.12;Controle E Tratamento De Efluentes De Qualquer Natureza E De Agentes Físicos, Químicos E Biológicos.;1.2404.21.00;Serviços de tratamento de resíduos perigosos;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.2404.22.00;Serviços de eliminação de resíduos perigosos;;;;;;;;
;;1.2404.31.00;Serviços de tratamento e eliminação de resíduos não perigosos em aterros sanitários;;;;;;;;
;;1.2404.32.00;Serviços de tratamento e eliminação de resíduos não perigosos em aterros, exceto os sanitários;;;;;;;;
;;1.2404.39.00;Serviços de tratamento e eliminação de resíduos não perigosos não classificados em subposições anteriores;;;;;;;;
;;1.2405.11.00;Serviços de remediação e limpeza do ar ;;;;;;;;
;;1.2405.12.00;Serviços de remediação e limpeza de águas de superfície ;;;;;;;;
;;1.2405.13.00;Serviços de remediação e limpeza do solo e de águas subterrâneas ;;;;;;;;
;;1.2405.20.00;Serviços de contenção, controle e monitoramento de áreas contaminadas;;;;;;;;
;;1.2405.90.00;Serviços de remediação não classificados em subposições anteriores;;;;;;;;
07.13;Dedetização, Desinfecção, Desinsetização, Imunização, Higienização, Desratização, Pulverização E Congêneres.;1.1803.21.00;Serviços de desinfecção e extermínio de pragas ;;;20201;local do imóvel;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;Serviços de pulverização e controle de pragas agropecuárias;;;;;200038;Fornecimento dos insumos agropecuários e aquícolas (Anexo IX);;
07.16;Florestamento, Reflorestamento, Semeadura, Adubação, Reparação De Solo, Plantio, Silagem, Colheita, Corte E Descascamento De Árvores, Silvicultura, Exploração Florestal E Dos Serviços Congêneres Indissociáveis Da Formação, Manutenção E Colheita De Florestas, Para Quaisquer Fins E Por Quaisquer Meios. (Redação Dada Pela Lei Complementar Nº 157, De 2016);1.1105.41.00;Exploração de recursos vegetais, inclusive florestais;;;20201;local do imóvel;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1901.10.00;Serviços de apoio à agricultura;;;20201;local do imóvel;200038;Fornecimento dos insumos agropecuários e aquícolas (Anexo IX);;
;;;;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1901.30.00;Serviços de apoio à produção florestal (silvicultura);;;20201;local do imóvel;;;;
;;1.0602.31.00;Serviços de armazenagem de granéis sólidos ;;;050101;local da prestação;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;;Serviços ambientais de conservação ou recuperação da vegetação nativa;;;20201;local do imóvel;200037;Fornecimento de serviços ambientais de conservação ou recuperação da vegetação nativa;;
07.17;Escoramento, Contenção De Encostas E Serviços Congêneres.;1.0105.11.00;Serviços de estaqueamento;;;20201;local do imóvel;200046;Operações com bens imóveis;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
07.18;Limpeza E Dragagem De Rios, Portos, Canais, Baías, Lagos, Lagoas, Represas, Açudes E Congêneres.;1.2406.90.00;Serviços de limpeza urbana e similares não classificados em subposições anteriores;;;20201;local do imóvel;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
07.19;Acompanhamento E Fiscalização Da Execução De Obras De Engenharia, Arquitetura E Urbanismo.;1.1402.15.00;Serviços de arquitetura relativos ao acompanhamento e fiscalização da execução de projetos arquitetônicos e urbanísticos;;;20201;local do imóvel;200052;Prestação de serviços de profissões intelectuais;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.1403.21.10;Serviços de engenharia para projetos de construção residencial;;;;;200052;Prestação de serviços de profissões intelectuais;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.1403.21.20;Serviços de engenharia para projetos de construção não residencial;;;;;200052;Prestação de serviços de profissões intelectuais;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.1403.30.00;Serviços de gerenciamento de projetos de construção ;;;;;200052;Prestação de serviços de profissões intelectuais;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
07.20;Aerofotogrametria (Inclusive Interpretação), Cartografia, Mapeamento, Levantamentos Topográficos, Batimétricos, Geográficos, Geodésicos, Geológicos, Geofísicos E Congêneres.;1.1404.21.00;Serviços topográficos ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.1404.22.00;Serviços cartográficos ;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
;;1.1404.19.00;Serviços geológicos, geofísicos e outros de prospecção não classificados em subposições anteriores;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;;;200045;Operações relacionadas a projetos de reabilitação urbana de zonas históricas e de áreas críticas de recuperação e reconversão urbanística;;
07.21;Pesquisa, Perfuração, Cimentação, Mergulho, Perfilagem, Concretação, Testemunhagem, Pescaria, Estimulação E Outros Serviços Relacionados Com A Exploração E Explotação De Petróleo, Gás Natural E De Outros Recursos Minerais.;1.1404.19.00;Serviços geológicos, geofísicos e outros de prospecção não classificados em subposições anteriores;;;20201;local do imóvel;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1902.10.00;Serviços de apoio à extração de petróleo e gás;;;;;;;;
;;1.1902.90.00;Serviços de apoio à mineração não classificados em subposições anteriores;;;;;;;;
07.22;Nucleação E Bombardeamento De Nuvens E Congêneres.;1.1901.10.00;Serviços de apoio à agricultura;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
08.01;Ensino Regular Pré-Escolar, Fundamental, Médio E Superior.;1.2201.11.00;Serviços de creche ou entidade equivalente;;;030101;local da prestação;200028;Fornecimento dos serviços de educação (Anexo II);;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2201.12.00;Serviços de pré-escola;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2201.19.00;Serviços de educação infantil não classificados em subposições anteriores;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2201.20.00;Serviços de ensino fundamental;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2201.30.00;Serviços de ensino médio;;;030101;;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2202.00.00;Serviços de educação técnica de nível médio;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.2203.10.00;Serviços de ensino fundamental de jovens e adultos;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.2203.20.00;Serviços de ensino médio de jovens e adultos;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.2204.10.00;Serviços educacionais de graduação;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;;;;;;;200025;Fornecimento dos serviços de educação relacionados ao Programa Universidade para Todos (Prouni);;
;;;;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;1.2204.20.00;Serviços educacionais de pós-graduação;;;030101;local da prestação;200028;Fornecimento dos serviços de educação (Anexo II);;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.2204.30.00;Serviços educacionais de extensão;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.2204.40.00;Serviços educacionais de cursos sequenciais;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;;;;;;;200025;Fornecimento dos serviços de educação relacionados ao Programa Universidade para Todos (Prouni);;
;;;;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
08.02;Instrução, Treinamento, Orientação Pedagógica E Educacional, Avaliação De Conhecimentos De Qualquer Natureza.;1.2205.11.00;Serviços de educação com enfoque cultural ;;;030101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.2205.13.00;Serviços de educação em línguas estrangeiras e de sinais;;;030101;local da prestação;200028;Fornecimento dos serviços de educação (Anexo II);;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;;;;;030101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.2205.19.00;Serviços de educação, inclusive treinamento não classificados em subposições anteriores;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.2205.20.00;Serviços de apoio aos serviços educacionais ;;;030101;local da prestação;;;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
09.01;"Hospedagem De Qualquer Natureza Em Hotéis, Apart-Service Condominiais, Flat, Apart-Hotéis, Hotéis Residência, Residence-Service, Suite Service, Hotelaria Marítima, Motéis, Pensões E Congêneres; Ocupação Por Temporada Com Fornecimento De Serviço (O Valor Da Alimentação E Gorjeta, Quando Incluído No Preço Da Diária, Fica Sujeito Ao Imposto Sobre Serviços).";1.0303.11.00;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, com serviços diários de faxina;;;30101;local da prestação;200048;Hotelaria, Parques de Diversão e Parques Temáticos;;
;;1.0303.12.00;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, sem serviços diários de faxina;;;;;;;;
;;1.0303.13.00;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, em propriedades partilhadas;;;;;;;;
;;1.0303.14.00;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, em quartos de múltipla ocupação;;;;;;;;
;;1.0303.20.00;Serviços de acampamentos turísticos (camping);;;;;;;;
;;1.0303.90.00;Serviços de hospedagem para visitantes não classificados em subposições anteriores;;;;;;;;
;;1.0304.10.00;Serviços de hospedagem em quartos ou unidades de hospedagem para estudantes em residências estudantis;;;;;;;;
;;1.0304.20.00;Serviços de hospedagem em quartos ou unidades de hospedagem para trabalhadores em hotéis ou campos;;;;;;;;
;;1.0304.90.00;Serviços de hospedagem, exceto para visitantes não classificados em subposições anteriores;;;;;;;;
09.02;Agenciamento, Organização, Promoção, Intermediação E Execução De Programas De Turismo, Passeios, Viagens, Excursões, Hospedagens E Congêneres.;1.0401.17.10;Serviços de transporte rodoviário para passeios turísticos (sightseeing);;;60101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.0401.17.20;Serviços de transporte ferroviário para passeios turísticos (sightseeing);;;;;;;;
;;1.0401.17.90;Serviços de transporte terrestre para passeios turísticos (sightseeing) não classificados em itens anteriores;;;;;;;;
;;1.0401.23.00;Serviços de transporte aquaviário para passeios turísticos (sightseeing);;;;;;;;
;;1.0401.43.00;Serviços de transporte aéreo para passeios turísticos (sightseeing);;;;;;;;
;;1.0402.13.20;Serviços de fretamento eventual ou turístico, nacional, exceto local;;;;;;;;
;;1.1805.40.00;Serviços de operadoras de turismo  ;S;N;100301;Domicílio principal do adquirente;200051;Agências de Turismo;;
;;1.1805.11.00;Serviços de reservas para transporte aéreo de passageiros;;;;;;;;
;;1.1805.12.00;Serviços de reservas para transporte ferroviário de passageiros;;;;;;;;
;;1.1805.13.00;Serviços de reservas para transporte rodoviário de passageiros ;;;;;;;;
;;1.1805.14.00;Serviços de reservas de carros de aluguel;;;;;;;;
;;1.1805.19.00;Serviços de reservas para transporte de passageiros não classificados em subposições anteriores;;;;;;;;
;;1.1805.21.00;Serviços de reservas de hospedagem, exceto em unidades compartilhadas ;;;;;;;;
;;1.1805.22.00;Serviços de reservas e intercâmbio de unidades compartilhadas (time-share)  ;;;;;;;;
;;1.1805.23.00;Serviços de reservas em cruzeiros ;;;;;;;;
;;1.1805.24.00;Serviços de reservas de pacotes turísticos ;;;;;;;;
;;1.1805.31.00;Serviços de reservas para centros de convenções, auditórios e salas de exposições;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1805.32.00;Serviços de reservas de ingressos para eventos de entretenimento e recreativos  ;;;;;;;;
;;1.1805.39.00;Serviços de reservas não classificados em subposições anteriores;;;;;;;;
;;1.1805.61.00;Serviços de promoção turística ;;;;;200051;Agências de Turismo;;
;;1.1805.62.00;Serviços de informação a visitantes ;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
09.03;Guias De Turismo.;1.1805.50.00;Serviços de guias turísticos ;;;030101;local da prestação;200051;Agências de Turismo;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
10.01;Agenciamento, Corretagem Ou Intermediação De Câmbio, De Seguros, De Cartões De Crédito, De Planos De Saúde E De Planos De Previdência Privada.;1.0906.11.00;Serviços de agenciamento e corretagem de seguros, resseguros e previdência complementar, exceto de seguros saúde;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.0906.12.00;Serviços de corretagem de seguros saúde ;;;;;011003;Intermediação de planos de assistência à saúde;;
;;1.0910.20.00;Serviços de corretagem de planos privados de assistência à saúde;;;;;;;;
;;1.0905.90.00;Serviços auxiliares aos serviços financeiros não classificados em subposições anteriores ;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
10.02;Agenciamento, Corretagem Ou Intermediação De Títulos Em Geral, Valores Mobiliários E Contratos Quaisquer.;1.0607.00.00;Serviços de agenciamento de transporte de cargas;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.0905.11.00;Serviços de corretagem de títulos;;;;;;;;
;;1.0905.12.00;Serviços de corretagem de derivativos e commodities;;;;;;;;
10.03;Agenciamento, Corretagem Ou Intermediação De Direitos De Propriedade Industrial, Artística Ou Literária.;1.2501.40.00;Serviços de agenciamento para a comercialização de obras audiovisuais;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.0905.11.00;Serviços de corretagem de títulos;;;;;;;;
10.04;Agenciamento, Corretagem Ou Intermediação De Contratos De Arrendamento Mercantil (Leasing), De Franquia (Franchising) E De Faturização (Factoring).;1.0905.90.00;Serviços auxiliares aos serviços financeiros não classificados em subposições anteriores ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
10.05;Agenciamento, Corretagem Ou Intermediação De Bens Móveis Ou Imóveis, Não Abrangidos Em Outros Itens Ou Subitens, Inclusive Aqueles Realizados No Âmbito De Bolsas De Mercadorias E Futuros, Por Quaisquer Meios.;1.1001.21.00;Serviços de intermediação na compra e venda de imóveis residenciais;;;20301;local do imóvel;200046;Operações com bens imóveis;;
;;1.1001.22.00;Serviços de intermediação na compra e venda de imóveis não residenciais;;;;;;;;
;;1.0201.00.00;Serviços de intermediação na distribuição de mercadorias;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.0205.00.00;Serviços de intermediação na comercialização de energia elétrica;;;;;;;;
;;1.0905.12.00;Serviços de corretagem de derivativos e commodities;;;;;;;;
10.06;Agenciamento Marítimo.;1.0502.29.00;Serviços de transportes aquaviário costeiro de cargas não classificados em subposições anteriores;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.0607.00.00;Serviços de agenciamento de transporte de cargas;;;;;;;;
10.07;Agenciamento De Notícias.;1.1704.10.00;Serviços de agências de notícias para jornais e periódicos;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.1704.20.00;Serviços de agências de notícias para mídia audiovisual;;;;;;;;
10.08;Agenciamento De Publicidade E Propaganda, Inclusive O Agenciamento De Veiculação Por Quaisquer Meios.;1.1406.20.00;Aquisição ou venda de espaço ou tempo para propaganda, sob comissão ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
10.09;Representação De Qualquer Natureza, Inclusive Comercial.;1.0201.00.00;Serviços de intermediação na distribuição de mercadorias;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
10.10;Distribuição De Bens De Terceiros.;1.0201.00.00;Serviços de intermediação na distribuição de mercadorias;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
11.01;Guarda E Estacionamento De Veículos Terrestres Automotores, De Aeronaves E De Embarcações.;1.0604.30.00;Serviços de estacionamento ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;1.0605.90.00;Serviços de apoio ao transporte aquaviário não classificados em subposições anteriores;;;;;;;;
;;1.0606.19.00;Serviços de apoio ao transporte aéreo não classificados em subposições anteriores;;;;;;;;
11.02;Vigilância, Segurança Ou Monitoramento De Bens E Pessoas.;1.1802.50.00;Serviços de guarda e escolta armada;;;030101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
;;1.1802.20.00;Serviços de consultoria em segurança ;;;;;;;;
;;1.1802.30.00;Serviços de sistemas de segurança ;;;;;;;;
;;1.1802.90.00;Serviços de segurança não classificados em subposições anteriores;;;;;;;;
11.03;Escolta, Inclusive De Veículos E Cargas.;1.1802.50.00;Serviços de guarda e escolta armada;;;030101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;S;N;100301;Domicílio principal do adquirente;;;;
11.04;Armazenamento, Depósito, Carga, Descarga, Arrumação E Guarda De Bens De Qualquer Espécie.;1.0601.10.00;Serviços de manuseio de contêineres ;;;050101;local da prestação;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0601.90.00;Serviços de manuseio de cargas não classificados em subposições anteriores ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0602.10.00;Serviços de armazenagem frigorificada ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0602.21.00;Serviços de armazenagem de petróleo e seus derivados ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0602.22.00;Serviços de armazenagem de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0602.23.00;Serviços de armazenagem de produtos químicos perigosos ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0602.29.00;Serviços de armazenagem de produtos perigosos não classificados em subposições anteriores;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0602.31.00;Serviços de armazenagem de granéis sólidos ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0602.32.00;Serviços de armazenagem de granéis líquidos ou liquefeitos ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0602.33.00;Serviços de armazenagem de granéis gasosos ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0602.90.00;Serviços de armazenagem não classificados em subposições anteriores;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0608.20.00;Serviços de unitização ou desunitização de cargas no transporte multimodal ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
;;1.0608.30.00;Serviços de movimentação de cargas no transporte multimodal ;;;050101;;;;;
;;;;;;050102;;;;;
;;;;;;050103;;;;;
;;;;;;050104;;;;;
11.05;Vigilância, Segurança Ou Monitoramento De Bens, Pessoas E Semoventes. (Redação Dada Pela Lei Complementar Nº 157, De 2016);1.1802.30.00;Serviços de sistemas de segurança ;S;N;100301;Domicílio principal do adquirente;000001;Situações tributadas integralmente pelo IBS e CBS.;;
12.01;Espetáculos Teatrais.;1.2502.20.00;Serviços de produção e apresentação de atuações artísticas ao vivo;;;40101;local do evento;200039;Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X);;
;;;;;;;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
12.02;Exibições Cinematográficas.;1.2501.50.00;Serviços de projeção de filmes;;;30101;local da prestação;200039;Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X);;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
;;;;;;30101;;000001;Situações tributadas integralmente pelo IBS e CBS.;;
;;;;;;030102;;;;;
;;;;;;030103;;;;;
;;;;;;030104;;;;;
